CODIGO;DESCRIPCION;stock_total;costo_normal;precio_mayor_normal;precio_docena_normal;precio_unidad_normal;costo_distribuidor;precio_mayor_dist;precio_docena_dist;precio_unidad_dist
RYG9-BJ;FLOR ARTIFICIAL X 9 CABEZAS DE 44 CM;1050;8.64;11.9;13;16;9.5;14.3;17.2;20.6
RYG7-XS;FLOR ARTIFICIAL X 7 CABEZAS DE 44 CM;720;9.19;12.7;13.8;17;10.11;15.2;18.2;21.8
BAS-17;FLORERO DE PLASTICO DE 10.5*14.5 CM;200;3.94;5.4;6;8.5;4.33;6.5;7.8;9.4
JIL;PEDESTAL DE PLASTICO DE 35*92 CM;100;56.44;68.5;75;85;62.08;93.1;111.7;134
BAS-02;MACETERO DE PLASTICO DE 23*15.5*31.5 CM Y PATAS DE 3.8*10 CM;96;27.56;35.9;40;45;30.32;45.5;54.6;65.5
FOT-PLANCHA;ESPONJA DE ESPUMA 1*1 MTS * 10 CM;27;54.47;81.8;98.2;120;59.92;89.9;107.9;129.5
FOT-PALO;ESPONJA DE ESPUMA 6 CM * 2 MTS;500;7.87;17;18.5;20;8.66;13;15.6;18.7
6521;FLORERO DE PLASTICO DE 65*21 CM;138;19.03;27;29;34;20.93;31.4;37.7;45.2
7827;FLORERO DE PLASTICO DE 78*27 CM;138;20.34;29;31;37;22.37;33.6;40.3;48.4
1703;PEDESTAL DE PLASTICO DE 90 CM;80;23.62;32.5;35;42;25.98;39;46.8;56.2
1502;PEDESTAL DE PLASTICO DE 90 CM;80;23.62;32.5;35;42;25.98;39;46.8;56.2
1715;COPA DE PLASTICO DE 50*30*23 CM;240;14.44;20;22;26;15.88;23.8;28.6;34.3
LH-01-F;ARTICULO DE FIESTA TIPO FLOR DE 60 CM;12400;6.56;10.5;15;18;7.22;10.8;13;15.6
LH-01-C;ARTICULO DE FIESTA TIPO CORAZON DE 60 CM;3600;4.59;7.5;10;13;5.05;7.6;9.1;10.9
EU-V;HOJA ARTIFICIAL DE DINERO DE RAMA ALTA DE 90 CM;1800;2.84;3.8;5;6.5;3.12;4.7;5.6;6.7
TN-01;TENEDOR DE METAL DE 20 CM (SET/6PCS);300;7.22;25;30;36;7.94;11.9;14.3;17.2
CU-01;CUCHILLO DE METAL DE 23 CM (SET/6PCS);300;10.5;30;36;43.2;11.55;17.3;20.8;25
TN-02;FLOR ARTIFICIAL EN VARA X 3 DE 85 CM;1584;3.09;4.5;5.4;6.5;3.4;5.1;6.1;7.3
TN-03;FLOR ARTIFICIAL EN VARA X 3 ROSA DE 35 CM;3960;4.71;5.9;7.1;8.5;5.18;7.8;9.4;11.3
TN-04;ESPIGA ARTIFICIAL DE 80 CM;1200;3.09;4;4.8;5.8;3.4;5.1;6.1;7.3
TN-05;FLOR ARTIFICIAL EN VARA DE 80 CM;2400;2.04;3.1;3.7;4.4;2.24;3.4;4.1;4.9
