CODIGO,DESCRIPCION,Atributos_JSON
RYG9-BJ,FLOR ARTIFICIAL X 9 CABEZAS DE 44 CM,"{
  ""analisis_inventario"": {
    ""prefijo_importadora"": """",
    ""numero_cabezas_contadas"": 9,
    ""letra_distintiva_flor"": ""R"",
    ""variante_color"": ""Rosa""
  },
  ""formato"": ""Ramo solo"",
  ""flor_principal"": ""Rosa"",
  ""color_principal"": ""Rosa"",
  ""hojas_propias"": true,
  ""follaje_extra_relleno"": false
}"
RYG7-XS,FLOR ARTIFICIAL X 7 CABEZAS DE 44 CM,"{
  ""analisis_inventario"": {
    ""prefijo_importadora"": ""[Prefijo]"",
    ""numero_cabezas_contadas"": 7,
    ""letra_distintiva_flor"": ""R"",
    ""variante_color"": ""Malva""
  },
  ""formato"": ""Ramo completo"",
  ""flor_principal"": ""Rosa"",
  ""color_principal"": ""Rosa viejo"",
  ""hojas_propias"": true,
  ""follaje_extra_relleno"": true
}"
BAS-17,FLORERO DE PLASTICO DE 10.5*14.5 CM,"{
  ""analisis_inventario"": {
    ""prefijo_importadora"": ""[Prefijo]"",
    ""numero_cabezas_contadas"": 80,
    ""letra_distintiva_flor"": ""K"",
    ""variante_color"": ""Rosa""
  },
  ""formato"": ""Ramo solo"",
  ""flor_principal"": ""Kalanchoe"",
  ""color_principal"": ""Rosa"",
  ""hojas_propias"": true,
  ""follaje_extra_relleno"": false
}"
JIL,PEDESTAL DE PLASTICO DE 35*92 CM,"{
  ""analisis_inventario"": {
    ""prefijo_importadora"": ""[Prefijo]"",
    ""numero_cabezas_contadas"": 0,
    ""letra_distintiva_flor"": ""[Letra inicial de la flor]"",
    ""variante_color"": ""Blanco""
  },
  ""formato"": ""Unidad"",
  ""flor_principal"": ""[Nombre común de la flor en español]"",
  ""color_principal"": ""Blanco"",
  ""hojas_propias"": false,
  ""follaje_extra_relleno"": false
}"
BAS-02,MACETERO DE PLASTICO DE 23*15.5*31.5 CM Y PATAS DE 3.8*10 CM,"{
  ""analisis_inventario"": {
    ""prefijo_importadora"": null,
    ""numero_cabezas_contadas"": 0,
    ""letra_distintiva_flor"": null,
    ""variante_color"": ""Negro""
  },
  ""formato"": null,
  ""flor_principal"": null,
  ""color_principal"": ""Negro"",
  ""hojas_propias"": false,
  ""follaje_extra_relleno"": false
}"
FOT-PLANCHA,ESPONJA DE ESPUMA 1*1 MTS * 10 CM,"{
  ""analisis_inventario"": {
    ""prefijo_importadora"": """",
    ""numero_cabezas_contadas"": 0,
    ""letra_distintiva_flor"": """",
    ""variante_color"": ""Blanco""
  },
  ""formato"": ""No aplica"",
  ""flor_principal"": ""No aplica"",
  ""color_principal"": ""Blanco"",
  ""hojas_propias"": false,
  ""follaje_extra_relleno"": false
}"
FOT-PALO,ESPONJA DE ESPUMA 6 CM * 2 MTS,"{
  ""analisis_inventario"": {
    ""prefijo_importadora"": ""[Prefijo]"",
    ""numero_cabezas_contadas"": 1,
    ""letra_distintiva_flor"": ""E"",
    ""variante_color"": ""Blanco""
  },
  ""formato"": ""Unidad"",
  ""flor_principal"": ""Esponja de espuma"",
  ""color_principal"": ""Blanco"",
  ""hojas_propias"": false,
  ""follaje_extra_relleno"": false
}"
6521,FLORERO DE PLASTICO DE 65*21 CM,"{
  ""analisis_inventario"": {
    ""prefijo_importadora"": ""N/A"",
    ""numero_cabezas_contadas"": 0,
    ""letra_distintiva_flor"": """",
    ""variante_color"": """"
  },
  ""formato"": """",
  ""flor_principal"": """",
  ""color_principal"": """",
  ""hojas_propias"": false,
  ""follaje_extra_relleno"": false
}"
7827,FLORERO DE PLASTICO DE 78*27 CM,"{
  ""analisis_inventario"": {
    ""prefijo_importadora"": ""[Prefijo]"",
    ""numero_cabezas_contadas"": 0,
    ""letra_distintiva_flor"": ""[Letra inicial de la flor]"",
    ""variante_color"": ""Blanco""
  },
  ""formato"": """",
  ""flor_principal"": """",
  ""color_principal"": ""Blanco"",
  ""hojas_propias"": false,
  ""follaje_extra_relleno"": false
}"
1703,PEDESTAL DE PLASTICO DE 90 CM,"{
  ""analisis_inventario"": {
    ""prefijo_importadora"": """",
    ""numero_cabezas_contadas"": 0,
    ""letra_distintiva_flor"": """",
    ""variante_color"": ""Blanco""
  },
  ""formato"": """",
  ""flor_principal"": """",
  ""color_principal"": ""Blanco"",
  ""hojas_propias"": false,
  ""follaje_extra_relleno"": false
}"
