CODIGO;DESCRIPCION;CANTIDAD (UND);COSTO UNITARIO S/.;PRECIO DE VENTA POR MAYOR S/.;PRECIO DE VENTA POR DOCENA S/.;PRECIO DE VENTA POR UNIDAD S/.;COSTO UNITARIO S/.;PRECIO DE VENTA POR MAYOR S/.;PRECIO DE VENTA POR DOCENA S/.;PRECIO DE VENTA POR UNIDAD S/.
V-GRS5-01;FLOR ARTIFICIAL GIRASOL EN VARA X 5 CABEZAS 75 CM;1440;3.85;5.8;7;8.4;4.235;6.4;7.7;9.2
TLZ-01;FLOR ARTIFICIAL EN RAMO X 5 CABEZAS DE 44 CM;960;3.09;4.6;5.5;6.6;3.399;5.1;6.1;7.3
XABJ-AD0034;ADORNO CUPULAS MEDIDAS: 323*323*360CMS (INCLUYE ACCESORIOS);2;894.98;1342.5;1611;1933.2;984.478;1476.7;1772;2126.4
XABJ-AD0053;COLUMPIO METAL 198*90*230 CM;10;336.32;504.5;605.4;726.5;369.952;554.9;665.9;799.1
PAN;MAQUINA MANUAL PARA LAMINAR CERA, MEDIDAS: 86*195 MM;2;1464.5;2196.8;2636.2;3163.4;1610.95;2416.4;2899.7;3479.6
QIN;EXTRACTOR DE ACEITES ESENCIALES DE 98 L CON COLUMNA DE CRISTAL, MEDIDAS: 63*63*147 CM;2;1492.7;2239.1;2686.9;3224.3;1641.97;2463;2955.6;3546.7
AS41R;GENERADOR ELECTRICO DIESEL, MODELO: AS41R, POTENCIA: 38KW/38kVA, MARCA: ASAMAN. INCLUYE CAJA DE DISTRIBUCION DEL GENERADOR ELECTRICO;1;13223.65;19835.5;23802.6;28563.1;14546.015;21819;26182.8;31419.4
AS-1.1KW;BOMBA DE AGUA, MODELO: AS-1, POTENCIA DE SALIDA: 1,1 Kw, MARCA: ASAMAN;4;276.63;414.9;497.9;597.5;304.293;456.4;547.7;657.2
INKA-01;CUATRIMOTO, MODELO: A7-20 125 cc;1;2229.28;3343.9;4012.7;4815.2;2452.208;3678.3;4414;5296.8
INKA-01;CUATRIMOTO, MODELO: A7-20 125 cc;1;2229.28;3343.9;4012.7;4815.2;2452.208;3678.3;4414;5296.8
INKA-02;CUATRIMOTO, MODELO: GK-03 110cc;1;2793.37;4190.1;5028.1;6033.7;3072.707;4609.1;5530.9;6637.1
INKA-02;CUATRIMOTO, MODELO: GK-03 110cc;1;2793.37;4190.1;5028.1;6033.7;3072.707;4609.1;5530.9;6637.1
INKA-03;CUATRIMOTO, MODELO: A7-21 150CC;1;4425.99;6639;7966.8;9560.2;4868.589;7302.9;8763.5;10516.2
INKA-03;CUATRIMOTO, MODELO: A7-21 150CC;1;4425.99;6639;7966.8;9560.2;4868.589;7302.9;8763.5;10516.2
INKA-04;CUATRIMOTO, MODELO: A7-21 150CC;1;4425.99;6639;7966.8;9560.2;4868.589;7302.9;8763.5;10516.2
INKA-04;CUATRIMOTO, MODELO: A7-21 150CC;1;4425.99;6639;7966.8;9560.2;4868.589;7302.9;8763.5;10516.2
TK;CASCO DE MOTO, MODELOS: F-601, F-707, F-602, F-805;4;37.97;57;68.4;82.1;41.767;62.7;75.2;90.2
TK2;CASCO DE MOTO, MODELOS: HD-806, HD-586, F-708, CY-01, F-804, F-707;6;37.97;57;68.4;82.1;41.767;62.7;75.2;90.2
ZP-09;CARPA PARA ALMACEN DE 20*50 MTS;1;193893.99;290841;349009.2;418811;213283.389;319925.1;383910.1;460692.1
AND;ANDAMIO DE 140 CM DE LARGO * 70 CM DE ANCHO * 3.15 MTS DE ALTO;1;2364.86;3547.3;4256.8;5108.2;2601.346;3902;4682.4;5618.9
NJJ;MOTOCULTOR MANUAL DIESEL AGRICOLA DE 8 CABALLOS;2;1898.39;2847.6;3417.1;4100.5;2088.229;3132.3;3758.8;4510.6
RUY-CH;FLOR ARTIFICIAL EN RAMO X 7 CABEZAS DE 40 CM;2250;4.08;6.1;7.3;8.8;4.488;6.7;8;9.6
RUY-05;FLOR ARTIFICIAL ROSA ESTRELLA ABIERTA EN VARA 38 CM;8640;1.09;1.6;1.9;2.3;1.199;1.8;2.2;2.6
RUY-13N;FLOR ARTIFICIAL EN RAMO X 6 CABEZAS DE 45 CM;960;5.84;8.8;10.6;12.7;6.424;9.6;11.5;13.8
RUY-15;FLOR ARTIFICIAL ROSA EN VARA X 5 CABEZAS 85 CM;480;4.75;7.1;8.5;10.2;5.225;7.8;9.4;11.3
RUY-DX;FLOR ARTIFICIAL EN VARA ROSA PEQUEÑA DE 50 CM;12000;0.65;1;1.2;1.4;0.715;1.1;1.3;1.6
FAR-01;FLOR ARTIFICIAL TIPO MAGNOLIA X 20 CABEZAS DE 55 CM;1470;5.3;8;9.6;11.5;5.83;8.7;10.4;12.5
FAR-02;FLOR ARTIFICIAL TIPO SAYURI X 9 CABEZAS DE 57 CM;2016;5.3;8;9.6;11.5;5.83;8.7;10.4;12.5
GRS7-02;FLOR ARTIFICIAL EN RAMO X 7 CABEZAS DE 50 CM;1020;5.5;8.3;10;12;6.05;9.1;10.9;13.1
E198;FLOR ARTIFICIAL EN RAMO X 10 CABEZAS DE  41 CM;1536;4.42;6.6;7.9;9.5;4.862;7.3;8.8;10.6
YQ10-MN;FLOR ARTIFICIAL EN RAMO X 10 CABEZAS CHICO DE 42 CM;4320;4.08;6.1;7.3;8.8;4.488;6.7;8;9.6
YQ10-MN;FLOR ARTIFICIAL EN RAMO X 10 CABEZAS CHICO DE 42 CM;120;4.08;6.1;7.3;8.8;4.488;6.7;8;9.6
YQ10-AN;FLOR ARTIFICIAL EN RAMO X 10 CABEZAS DE 42 CM;900;4.08;6.1;7.3;8.8;4.488;6.7;8;9.6
YQ12-H17;FLOR ARTIFICIAL ROSA ALEGRE EN RAMO X 12 43 CM;900;5.44;8.2;9.8;11.8;5.984;9;10.8;13
YSK-1;LLAVERO;600;1.22;1.8;2.2;2.6;1.342;2;2.4;2.9
YSK-2;LLAVERO;480;2.04;3.1;3.7;4.4;2.244;3.4;4.1;4.9
Yl-01;CENTRO DE ENTRETEMIENTO AL AIRE LIBRE PARA DIVERSION DE NIÑOS (INCLUYE TOBOGANES, ESCALERA);1;2581.38;3872.1;4646.5;5575.8;2839.518;4259.3;5111.2;6133.4
Yl-02;CENTRO DE ENTRETEMIENTO AL AIRE LIBRE PARA DIVERSION DE NIÑOS (INCLUYE TOBOGANES, ESCALERA);1;4415.53;6623.3;7948;9537.6;4857.083;7285.6;8742.7;10491.2
WSH-R;LEON ROJO DE LANA CON LUCES;1;1902.05;2853.1;3423.7;4108.4;2092.255;3138.4;3766.1;4519.3
WSH-A;LEON AMARILLO DE LANA CON LUCES;1;1902.05;2853.1;3423.7;4108.4;2092.255;3138.4;3766.1;4519.3
TY-01N;SOMBRILLA CON LUCES 7 MTS DE DIAMETRO (INCLUYE BASES);4;7628.7;11443.1;13731.7;16478;8391.57;12587.4;15104.9;18125.9
